mszoning,lotshape,landcontour,lotconfig,landslope,neighborhood,condition1,bldgtype,housestyle,roofstyle,exterior1st,exterior2nd,masvnrtype,exterqual,extercond,foundation,bsmtqual,bsmtcond,bsmtexposure,bsmtfintype1,bsmtfintype2,heatingqc,centralair,electrical,kitchenqual,functional,fireplacequ,garagetype,garagefinish,garagequal,garagecond,paveddrive,saletype,salecondition,mssubclass,lotfrontage,lotarea,overallqual,overallcond,yearbuilt,yearremodadd,masvnrarea,bsmtfinsf1,bsmtunfsf,totalbsmtsf,firstflrsf,secondflrsf,grlivarea,bsmtfullbath,bsmthalfbath,fullbath,halfbath,bedroomabvgr,kitchenabvgr,totrmsabvgrd,fireplaces,garageyrblt,garagecars,garagearea,wooddecksf,openporchsf,enclosedporch,mosold,yrsold,Predicted Sale Price,Actual Sale Price
3,3,3,4,0,19,2,0,2,3,6,6,2,3,4,1,4,4,3,2,6,4,1,5,3,6,3,1,2,5,5,2,8,4,20,70.0,8414,6,8,1963,2003,0.0,663,396,1059.0,1068,0,1068,0,1,1,0,3,1,6,0,1963.0,1,264,192,0,0,2,2006,140844.25,154500
3,0,3,0,0,15,2,0,5,1,6,6,1,2,4,2,0,4,0,2,6,0,1,5,2,6,5,1,2,5,5,2,8,4,60,98.0,12256,8,5,1994,1995,362.0,1032,431,1463.0,1500,1122,2622,1,0,2,1,3,1,9,2,1994.0,2,712,186,32,0,4,2010,321773.74,325000
4,3,3,4,0,17,0,0,2,1,14,15,2,3,4,1,4,4,3,6,6,2,1,0,3,6,2,5,3,5,5,2,8,4,30,56.0,8960,5,6,1927,1950,0.0,0,1008,1008.0,1028,0,1028,0,0,1,0,2,1,5,1,1927.0,2,360,0,0,130,3,2010,119137.0,115000
4,3,3,0,0,3,1,0,0,1,5,5,2,3,2,1,4,4,3,0,6,0,1,5,3,6,2,5,3,5,5,2,8,4,50,50.0,5000,6,7,1947,1950,0.0,399,605,1004.0,1004,660,1664,0,0,2,0,3,1,7,2,1950.0,2,420,0,24,36,10,2006,163364.5,159000
3,0,1,4,0,23,2,0,2,3,12,13,3,2,4,2,0,4,1,2,6,0,1,5,0,6,0,1,0,5,5,2,8,4,20,89.0,12898,9,5,2007,2008,70.0,1022,598,1620.0,1620,0,1620,1,0,2,0,2,1,6,1,2008.0,3,912,228,0,0,9,2009,318465.87,315500
4,3,3,4,0,10,2,4,6,1,5,5,2,3,4,1,2,4,0,3,2,0,1,5,3,6,3,6,1,3,3,2,8,4,180,21.0,1491,4,6,1972,1972,0.0,150,0,630.0,630,0,630,1,0,1,0,1,1,3,0,1978.5061638868744,0,0,96,24,0,5,2010,83037.5,75500
3,0,3,0,0,6,2,0,0,1,12,13,1,2,2,1,4,4,3,1,6,0,1,5,2,6,5,1,3,5,5,2,8,4,50,70.04995836802665,15660,7,9,1939,2006,312.0,341,457,798.0,1137,817,1954,0,1,1,1,3,1,8,2,1939.0,2,431,0,119,150,5,2008,208551.52,311500
3,3,3,4,0,13,2,3,5,1,9,2,2,3,4,1,2,4,3,0,6,1,1,5,3,6,5,1,3,5,5,2,8,4,160,24.0,2280,6,5,1978,1978,0.0,311,544,855.0,855,601,1456,0,0,2,1,3,1,7,1,1978.0,2,440,26,0,0,7,2010,151862.0,146000
4,3,3,4,0,10,2,3,6,1,5,5,2,3,4,1,2,4,0,1,2,2,1,5,3,6,3,6,1,3,3,2,8,4,180,21.0,1936,4,6,1970,1970,0.0,131,0,630.0,630,0,630,1,0,1,0,1,1,3,0,1978.5061638868744,0,0,0,0,0,12,2007,85013.16,84500
3,0,3,4,0,7,2,0,0,1,8,8,2,3,2,2,4,4,3,6,6,4,1,5,3,6,3,1,3,5,5,2,8,4,50,59.0,16466,5,7,1955,1955,0.0,0,816,816.0,872,521,1393,0,0,1,1,3,1,8,0,1955.0,1,300,121,0,0,4,2008,129658.25,135500
3,3,3,4,0,18,2,0,0,1,13,14,2,3,4,0,4,4,3,6,6,2,1,5,3,6,2,5,3,5,5,2,8,4,50,52.0,6292,7,7,1928,1950,0.0,0,861,861.0,877,600,1477,0,1,2,0,3,1,6,1,1928.0,1,216,0,50,0,8,2009,153481.79,145000
3,3,3,4,0,11,2,0,2,1,6,6,2,3,4,1,4,4,3,1,6,4,1,5,3,6,3,1,2,5,5,2,8,4,20,62.0,9858,5,6,1968,1968,0.0,510,354,864.0,874,0,874,1,0,1,0,3,1,5,0,1968.0,1,288,33,0,0,11,2009,123663.83,130000
0,3,2,4,0,9,2,0,2,1,8,8,2,1,4,1,4,4,3,6,6,4,1,5,3,6,3,5,2,5,5,2,3,4,30,120.0,18000,3,4,1935,1950,0.0,0,894,894.0,894,0,894,0,0,1,0,2,1,6,0,1994.0,3,1248,0,20,0,8,2008,108328.0,81000
3,0,3,4,0,16,2,0,2,1,12,13,1,2,4,2,2,4,3,2,6,0,1,5,2,6,3,1,2,5,5,2,8,4,20,70.0,10171,7,5,2004,2004,168.0,2,1515,1517.0,1535,0,1535,0,0,2,0,3,1,7,0,2004.0,2,532,0,0,0,3,2010,204320.67,214000
3,3,3,4,0,8,2,0,5,1,12,13,2,3,4,2,2,4,3,6,6,0,1,5,3,6,5,1,2,5,5,2,8,0,60,70.04995836802665,8063,6,5,2000,2000,0.0,0,924,924.0,948,742,1690,0,0,2,1,3,1,7,1,2000.0,2,463,100,48,0,11,2007,177126.0,181000
3,3,3,4,0,12,2,0,2,1,13,14,2,3,4,1,4,4,3,1,6,2,1,5,2,6,3,1,3,5,5,2,8,4,20,66.0,8923,5,7,1953,2006,0.0,643,365,1008.0,1008,0,1008,1,0,1,0,2,1,6,0,1953.0,1,240,0,18,0,5,2007,130960.25,134500
3,0,3,4,0,8,2,0,5,1,12,13,2,2,4,2,2,4,3,6,6,0,1,5,2,6,2,1,0,5,5,2,8,4,60,62.0,8244,7,5,2004,2004,0.0,0,840,840.0,840,880,1720,0,0,2,1,3,1,7,1,2004.0,2,440,100,48,0,5,2007,193992.42,183500
3,3,3,4,0,12,2,0,2,1,13,14,1,3,4,1,4,4,3,5,6,0,1,5,3,6,3,1,2,5,5,2,8,3,20,70.0,7000,5,7,1960,2002,45.0,588,422,1010.0,1134,0,1134,0,0,1,0,2,1,6,0,1960.0,1,254,0,16,0,4,2007,135838.59,135000
4,3,0,4,1,9,2,0,2,1,3,3,2,3,4,0,4,4,3,6,6,4,1,0,3,6,2,5,3,5,5,2,8,4,30,59.0,8263,6,5,1920,1950,0.0,0,1012,1012.0,1012,0,1012,0,0,1,0,2,1,6,1,1920.0,1,308,0,22,112,5,2007,115797.75,118400
3,0,3,4,0,5,2,0,2,1,12,13,1,2,4,2,2,4,0,2,6,0,1,5,2,6,3,1,2,5,5,2,8,4,20,72.0,10665,7,5,2003,2003,167.0,1013,440,1453.0,1479,0,1479,1,0,2,0,3,1,7,0,2003.0,2,558,144,29,0,6,2007,206621.34,226000
3,3,3,0,0,19,2,0,2,1,13,14,0,3,4,1,4,4,3,5,1,0,1,5,3,0,5,1,2,5,5,2,8,4,20,88.0,13125,5,4,1957,2000,67.0,168,284,1134.0,1803,0,1803,1,0,2,0,3,1,8,1,1957.0,2,484,0,0,0,1,2006,164410.05,155000
1,3,3,4,0,21,2,0,5,1,12,13,2,2,4,2,2,4,3,6,6,0,1,5,2,6,3,1,2,5,5,2,8,4,60,75.0,9000,8,5,2008,2008,0.0,0,768,768.0,786,804,1590,0,0,2,1,3,1,6,0,2008.0,2,676,0,30,0,6,2009,224223.81,210000
3,3,3,2,0,5,2,0,5,1,12,13,2,2,4,2,2,4,3,2,6,0,1,5,2,6,3,1,0,5,5,2,8,4,60,64.0,8633,6,5,2005,2005,0.0,193,545,738.0,738,738,1476,1,0,2,1,3,1,7,0,2005.0,2,540,100,35,0,2,2009,177233.96,173500
3,3,3,4,0,12,2,0,2,1,8,8,2,3,4,1,4,4,3,1,5,0,1,5,3,6,3,1,0,5,5,2,8,4,20,74.0,5868,5,7,1956,2000,0.0,248,448,936.0,936,0,936,1,0,1,0,2,1,4,0,1956.0,1,308,0,0,80,5,2010,120862.04,129000
3,0,3,4,0,5,2,0,2,1,12,13,2,2,4,2,2,4,0,2,6,0,1,5,2,6,3,1,0,5,5,2,8,4,20,68.0,9017,7,5,1999,1999,0.0,560,871,1431.0,1431,0,1431,1,0,2,0,3,1,6,0,1999.0,2,666,0,35,0,9,2009,195612.72,192000
3,3,3,4,0,20,2,4,2,1,9,10,2,2,4,2,2,4,3,2,6,0,1,5,2,6,3,1,2,5,5,2,8,4,120,55.0,7892,6,5,1993,1993,0.0,300,899,1199.0,1199,0,1199,0,0,2,0,2,1,5,0,1993.0,2,530,0,63,0,3,2008,175315.78,153900
3,0,3,4,0,8,2,0,2,1,12,13,2,2,4,2,2,4,0,2,6,0,1,5,2,6,3,1,0,5,5,2,6,5,20,73.0,8899,7,5,2007,2007,0.0,24,1316,1340.0,1340,0,1340,0,0,2,0,3,1,6,0,2007.0,2,396,100,30,0,8,2007,185809.58,181134
3,3,3,0,0,8,2,0,2,1,12,13,2,3,4,1,4,4,3,3,6,0,1,5,3,6,3,5,3,5,5,2,8,4,20,140.0,19138,4,5,1951,1951,0.0,120,744,864.0,864,0,864,0,0,1,0,2,1,4,0,1951.0,2,400,0,0,0,6,2010,104412.5,141000
3,0,3,0,0,8,2,0,5,1,12,13,2,3,4,2,2,4,3,6,6,0,1,5,3,6,5,1,0,5,5,2,8,4,60,100.0,10839,6,5,1997,1998,0.0,0,926,926.0,926,678,1604,0,0,2,1,3,1,7,1,1997.0,2,470,0,36,0,7,2008,178195.35,181000
1,3,3,0,0,21,2,4,2,1,12,13,2,2,4,2,0,1,3,6,6,0,1,5,2,6,2,1,2,5,5,2,6,5,120,47.0,4230,7,5,2006,2007,0.0,0,1352,1352.0,1352,0,1352,0,0,2,0,2,1,5,1,2006.0,2,466,0,241,0,4,2007,194225.76,208900
3,0,3,4,0,3,6,0,0,1,0,10,2,3,4,2,1,4,3,6,6,2,1,5,3,6,3,1,3,5,5,2,8,4,50,92.0,7438,5,8,1908,1991,0.0,0,504,504.0,936,316,1252,0,0,1,0,3,1,5,0,1986.0,2,576,104,0,0,6,2006,123393.87,127000
3,3,3,4,0,16,2,0,5,1,12,13,1,2,4,2,2,4,3,2,6,0,1,5,2,6,2,3,2,5,5,2,8,4,60,85.0,10625,7,5,2003,2004,292.0,866,132,998.0,1006,1040,2046,1,0,2,1,3,1,8,1,2003.0,3,871,320,62,0,8,2008,249066.98,284000
3,0,0,4,0,4,2,0,0,1,8,8,2,3,4,1,4,4,3,5,1,4,1,5,0,0,2,6,1,3,3,2,8,4,50,138.0,18030,5,6,1946,1994,0.0,152,977,1598.0,1636,971,3086,0,0,3,0,3,1,12,1,1978.5061638868744,0,0,122,0,0,3,2007,178092.1,200500
3,0,3,4,0,12,2,0,2,1,12,13,2,3,4,1,4,4,3,0,6,0,1,0,3,6,3,5,3,5,5,2,8,4,20,70.04995836802665,8475,4,7,1956,1956,0.0,228,724,952.0,952,0,952,0,0,1,0,2,1,4,0,1956.0,1,283,0,0,0,4,2008,112674.25,135750
3,0,3,0,0,21,2,0,2,1,12,13,3,2,4,2,2,4,3,2,6,0,1,5,2,6,2,1,2,5,5,2,8,4,20,116.0,13501,8,5,2006,2006,208.0,63,1560,1623.0,1636,0,1636,1,0,2,0,3,1,8,1,2006.0,3,865,0,60,0,6,2007,261653.15,255000
3,3,3,4,0,12,2,0,2,1,6,6,2,3,4,1,4,4,3,5,6,4,1,5,3,6,2,1,2,5,5,2,8,4,20,80.0,9200,6,6,1965,1965,0.0,892,244,1136.0,1136,0,1136,1,0,1,0,3,1,5,1,1965.0,1,384,426,0,0,7,2008,150087.5,140000
3,3,3,4,0,12,2,0,0,1,12,14,2,3,4,1,4,4,3,5,1,2,1,0,3,2,3,1,3,5,5,2,8,4,50,60.0,7200,5,4,1950,1982,0.0,180,676,1208.0,1136,768,1904,1,0,1,1,3,1,7,0,1950.0,1,240,0,0,168,5,2009,134805.36,138000
3,3,3,4,0,5,2,0,5,1,12,13,2,2,4,2,2,4,3,6,6,0,1,5,2,6,2,3,0,5,5,2,8,4,60,65.0,8200,7,5,2003,2004,0.0,0,847,847.0,847,1081,1928,0,0,2,1,4,1,8,1,2003.0,2,434,100,48,0,7,2007,202275.91,219500
3,0,3,0,0,15,2,0,5,1,8,8,2,2,2,2,2,1,3,2,6,0,1,5,2,6,5,1,2,5,5,2,8,0,60,70.04995836802665,14541,8,7,1993,1993,0.0,1012,326,1338.0,1352,1168,2520,1,0,2,1,5,1,10,1,1993.0,3,796,209,55,0,11,2006,309370.05,310000
4,3,3,4,0,17,2,0,2,1,3,3,2,3,4,2,3,2,4,4,4,2,1,0,3,6,3,5,3,5,5,2,8,4,20,70.0,12702,5,5,1956,1956,0.0,0,0,0.0,882,0,882,0,0,1,0,2,1,4,0,1956.0,1,308,0,45,0,12,2008,107118.15,97000
